operation,solution
76*((94+7290)*5963)-10827,3346329365
"comb(37,3)",7770
((4263+6382)*169951)-17232,1809111163
((7405+455)*77)+(59*8482),1105658
2081+(2336*9951)-(79925/23),23244142
((599411*7365)-(8111+54))/10,441465385
"lcm(29,81)",2349
10^5+5^8,490625
87*(29+82),9657
((3851*98)-(6000+37))/3,123787
((4111*50)-(2695+80))/25,8111
(1008+(1140*1166))*(7699-1812),7831169976
((2277+74)*6426)+(5731*177),16121913
46932*((7365+75)*5591)-25501,1952232255779
abs(5683-8104)*40+floor(5683/20),97124
"C(14,7)+fib(22)",21143
9^4+9^7,4789530
"max(45548,94533,89802)-min(45548,48121)+39",49024
((2106+77)*30)+(375766*48),18102258
prime_count(10098),1239
(4393*856)+(5992*882),9045352
5286+(313*386)-(40235/65),125485
44*4198-1440,183272
(9289+(462*332))*(874-53),133554533
4^10+4^5,1049600
"C(30,7)+fib(28)",2353611
(7510*976008)-(1828*5736),7319334672
(67378*704701)-(535549*81),47437964509
(7639*651)-(161*306),4923723
"C(16,6)-419",7589
(801+22)*(7575-7335),197520
((4876+3763)*2114)+(59*46),18265560
7!*15+3816,79416
((7892+(4482*1800))*(8273-663))-55253,61454438867
sigma(350),744
"comb(36,9)",94143280
9414+(6189*813711)-(74655/79),5036065848
(1462+(243807*4))*(7828-6061),1725811230
"C(28,7)%nth_prime(37)",103
((172755*133)/55)*26+42,10861620
nth_prime(162)*46+prime_count(4688),44471
(((1211*2806)+(5754*4035))/224)-78,118741
(5213*754)+(339*468),4089254
47*((4301+8390)*925021)-50479,551753700538
abs(1883-9893)*48+floor(1883/6),384793
((5318*217)/2)*592893+16,342101039695
"gcd(5618,45686)",106
nth_prime(194),1181
phi(4883),4608
abs(5084-5116)*11+floor(5084/6),1199
abs(1600-9820)*11+floor(1600/20),90500
(6213*11)/3,22781
((7945+9372)*1566)+(9474*7328),96543894
(7553*8)+(92*77)+(4440*3),80828
((5622+50)*512377)-52875,2906149469
640*142,90880
7!*6+7467,37707
((4461+8380)*2837)+(2893*95),36704752
((1185+5172)*3602)+(5655*83),23367279
nth_prime(1283)*21+prime_count(2398),220583
69*(9292+79),646599
abs(2382-8346)*14+floor(2382/18),83628
(2235+65)*(3856-2638),2801400
(2916*98)-(68*2914),87616
sqrt(95902849),9793
(9597+(84*6352))*(6991-2756)+85,2300303860
686139*8354+58,5732005264
5474*((9050+6117)*69)-33577,5728633325
prime_count(38676),4074
floor(1829106/199)+445,9636
(6779*59)/59,6779
2607+(3449*699)-(41120/40),2412430
(1457*362)-(993*174),354652
(((4046*5941)+(622*481786))/3)-4400,107898326
nth_prime(271)*81+prime_count(1946),141316
((7451*9705)+51)/6,12052001
(6920*9641)+(216133*6414),1452992782
4046+(3758*55)-(19502/7),207950
prime_count(12633),1508
(1832+13)*(904-309),1097775
((4166+57)*2288)-50767,9611457
95*((5644+39)*167649)-9402,90511170963
(3571+301)*462,1788864
872688*(99+28),110831376
7!*5+9980,35180
(4736+(2013*20))*(4840-4796)+78,1979902
(1563+(50*582795))*(9204-1881)+51,213401835150
"comb(37,10)",348330136
reverse_digits(367003678495),594876300763
(1940*42)+(8434*80),756200
(329853*9373)-(67*722075),3043333144
11^7+3^7,19489358
10!*7+7177,25408777
"max(91185,72658,27725)-min(91185,21313)+1",69873
((8369+33)*3745)+(9955*214),33595860
(42^7)%579,453
"comb(38,5)",501942
"perm(9,6)",60480
"lcm(110,290)",3190
(4969*897)-(711*230),4293663
(((4011*4680)+(9219*7349))/327)-7796,256797
(8240*412)+(8044*540),7738640
(4947*155)/155,4947
prime_count(27576),3010
((976028*4535)+47)/3,1475429009
2163303/471+27,4620
phi(4137),2352
(8231+(1142*46))*(5564-4448)+4198,67815706
(531+33)*(878-123),425820
(11*265022)+(6074*49),3212868
658+(98*8163)-(224785/61),796947
(7182+(406*379))*(495-24),75857376
9421*(39+5884),55800583
((47*12)/141)*5565+64,22324
phi(4247),4080
nth_prime(447),3163
(5817+(37*367678))*(7036-3098)+98,53595798112
(4623+(44*7533))*(9488-2183),2455027875
373400*(5961+71),2252348800
phi(289),272
1091748/634+85,1807
(4235+17)*(6224-762),23224424
prime_count(33338),3569
(9381+(309*254))*(825-62),67042521
"gcd(708,189)*lcm(708,189)",133812
((320+(5119*2169))*(6469-6014))-65316,5051995789
(76*649980)+(7448*7850)+(57*2),107865394
11!/(8!*3!),165
fib(37),24157817
digit_sum(272071641)^2+digit_sum(272071641),930
(86*1944)+(531*53554)+(679645*21),42876903
sqrt(43917129),6627
floor(3168802/663)+427,5206
phi(434),180
10!/(3!*7!),120
8602+(371*5300)-(112176/82),1973534
(6810+(42*1257))*(3132-1896)+3607,73674151
fib(33)*19,66966982
"C(22,5)-52",26282
(2687+68)*31,85405
"C(17,8)+fib(29)",538539
9!*27+6874,9804634
"gcd(48682,16261,1111)",101
prime_count(20186),2284
phi(4339),4338
(((474*484613)+(8972*9087))/138)-7701,2247626
prime_count(6649),856
((8300+5959)*9965)+(7079*39),142367016
"gcd(714,763)*lcm(714,763)",544782
(3437*5)/35,491
((6487*869)-(3688+2975))/5,1126108
((1047-49)*800)/16,49900
(820927*2)-(79*38),1638852
7797+(584*383)-(41796/36),230308
floor(5330597/958)+496,6060
(1649*263)+(1160*472),981207
((702865*99)-(8508+50))/13,5351929
((4994+13)*320301)+(34*39),1603748433
prime_count(27017),2963
((7352*58)/2)*9660+91,2059589371
((1273+8173)*319)-31285,2981989
(70*52)/8,455
"comb(23,6)",100947
prime_count(15645),1824
(4667*913331)-(73*725238),4209573403
prime_count(9661),1193
(5097*175)/5,178395
"gcd(188,269)*lcm(188,269)",50572
(1763+(873*884))*(3749-3077)+7381,519796021
((2979+(600718*8401))*(859-62))-30764,4022167982145
"C(38,6)",2760681
(285168*83)-(64*78639),18636048
digit_sum(278029815)^2+digit_sum(278029815),1806
phi(740)*sigma(614),266112
633*(5148+450),3543534
floor(2564876/874)+458,3392
(9917+(7254*83))*(3295-1785)+13,924118503
"C(16,7)+fib(15)",12050
"lcm(144,171)",2736
(((142674*3054)+(30*72))/36)-2929,12100642
(6834+(69*9598))*(3804-3757),31447512
sqrt(87291649),9343
(((9237*1482)+(4*296145))/18)-3794,822529
99*(60+4708),472032
abs(751-6635)*30+floor(751/14),176573
abs(8636-5289)*18+floor(8636/19),60700
(18*9431)+(4569*6873),31572495
floor(247819/811)+300,605
phi(2950)*sigma(1559),1809600
(340+(889*841))*(923-566),267032073
prime_count(47539),4901
nth_prime(208)*54+prime_count(3944),69829
abs(9790-7725)*15+floor(9790/12),31790
(34^8)%515,196
(1264+15)*71,90809
(36^10)%951,438
((9875-5688)*39)/159,1027
(1931+1217)*268000,843664000
"P(8,3)",336
(3428*7131)+(23185*8604),223928808
"lcm(202,166)",16766
sigma(3433),3434
(840312*5314)-(3209*9),4465389087
(6231*58)-(904*353),42286
(5278+(9778*53))*(8919-331),4495921056
9!*7+4882,2545042
(171*3485)+(304914*2892)+(4383*32),882547479
(2106+68)*(8225-6844),3002294
5^7+3^8,84686
4^9+8^4,266240
phi(4950),1200
prime_count(23058),2574
8768+(8769*5471)-(85158/19),47979485
(376123*104)/4,9779198
((6489*747402)-(6057+41))/20,242494274
abs(9950-5871)*15+floor(9950/12),62014
(8184+(611*530))*(570-296),90971836
(1511*334)+(1426*581),1333180
abs(8894-5003)*39+floor(8894/18),152243
floor(8071106/936)+49,8671
(3091*113)/113,3091
1799343/819+5,2202
((3307+18)*80)+(819109*9460),7749037140
phi(2516),1152
reverse_digits(771323754853),358457323177
reverse_digits(4509)+isqrt(20333867),13563
abs(5212-8474)*45+floor(5212/18),147079
fib(26)+digit_sum(fib(26)),121412
(((4939*8417)+(30*242668))/131)-7935,364978
(4858+(8208*3540))*(2928-1641)+14,37401736100
(2673+(2764*91))*(3396-2524),221659784
phi(1778)*sigma(2919),3386880
((9850+6967)*3776)+(9246*309058),2921051260
abs(1670-8578)*28+floor(1670/6),193702
reverse_digits(583836555017),710555638385
((3542+8046)*1778)+(8385*1836),35998324
abs(4721-5717)*45+floor(4721/11),45249
(4320*7035)-(359*3627),29089107
(7016+(9219*997170))*(6617-1082),50882796956610
sqrt(270043489),16433
abs(6268-6278)*8+floor(6268/13),562
(6647+36)*9815,65593645
nth_prime(137)*90+prime_count(2120),69889
7106*67-1318,474784
((214250*6067)+86)/262,4961278
"comb(18,8)",43758
nth_prime(901),7001
"max(33814,76992,73899)-min(33814,60988)+28",43206
((119672*7363)-(2103+83))/450,1958095
(9206+(6181*6279))*(6082-2858)+21,125154728941
phi(2335),1864
5^4+9^6,532066
nth_prime(343)*40+prime_count(2284),92699
(4616*6467)-(365*71),29825757
"lcm(269,393,123)",4334397
"lcm(54,490)+gcd(54,490)",13232
nth_prime(1070),8597
((1365+94)*62)-85,90373
(6591+43)*4286,28433324
(8741*170)/170,8741
7070*(9429+68),67143790
prime_count(49000),5035
218*(4239+557),1045528
(3515+(3293*7673))*(9144-4231),124154968752
reverse_digits(3150)+isqrt(9924941),3663
((1168+(65*1465))*(8512-3997))-80368,435134027
sqrt(231739729),15223
(384*15)+(8216*626),5148976
(4067*799420)+(6424*3017),3270622348
(19^10)%243,181
(115348*41)+(912573*6418),5861622782
"C(28,8)+fib(17)",3109702
(89*51)+(5510*30)+(982973*58),57182273
((6600+3433)*2670)+(1605*653767),1076084145
7^9+5^4,40354232
"lcm(106,343,39)",1417962
"C(26,5)+287",66067
(5630*641)+(6848*537),7286206
((44*4153)-(860+732))/60,3019
sqrt(64176121),8011
"max(30320,55711,49206)-min(30320,27931)+24",27804
reverse_digits(2994)+isqrt(8966449),7986
abs(2091-4994)*3+floor(2091/20),8813
floor(6306543/862)+195,7511
nth_prime(850),6571
((5548+835)*771)+(6319*589),8643184
((588979*59)/59)*9374+49,5521089195
(6515*8779)-(5877*7475),13264610
"gcd(588,299)*lcm(588,299)",175812
"C(19,9)",92378
prime_count(5591),738
(757*191341)+(99*27),144847810
"max(31097,91914,7374)-min(31097,19186)+34",72762
(3657+69)*(6321-2105),15708816
12^10+6^8,61919043840
(72*1782)+(725327*8263),5993505305
3905*56-2167,216513
((9357+3886)*88)+(45*94),1169614
nth_prime(916)*25+prime_count(1331),179192
(8160+9366)*7971,139699746
4895+(59*57)-(123264/64),6332
(4336*191124)+(1371*4),828719148
"comb(23,10)",1144066
"max(32539,89908,49808)-min(32539,31662)+3",58249
"C(23,6)+fib(28)",418758
"C(18,4)",3060
digit_sum(348871007)^2+digit_sum(348871007),1482
"C(24,4)+P(24,3)",22770
14!/(9!*5!),2002
(9811+57)*(7004-5666),13203384
phi(1360),512
(9173+(99*54))*(6221-4176)+2294,29693649
nth_prime(228),1439
((71509-55128)*481)/37,212953
2101+(554*879)-(136409/91),487568
"C(21,7)*13",1511640
512731*8195-3280,4201827265
fib(20),6765
"comb(26,6)",230230
(((2249*2661)+(6373*3260))/11)-4610,2428169
((9504+945)*79)+(1562*421),1483073
2535*((53+71)*44)-83787,13747173
"P(17,2)",272
"C(31,6)*18",13253058
"perm(18,5)",1028160
(845+(922*59))*(9302-299),497352729
digit_sum(2^10)*phi(166),574
((2552+7)*7637)-11891,19531192
nth_prime(1186)*36+prime_count(2924),346490
(8095+5773)*72,998496
nth_prime(457),3229
((8057+90)*449)-66781,3591222
526636*1701+73,895807909
429444/151+62,2906
"comb(40,9)",273438880
(7476*80)+(3018*1768)+(32520*5786),194094624
(3268+(2960*2235))*(958-769),1250966052
114527*(3948+561),516402243
(1572+(34*55))*(2620-1528)+8914,3767578
44370/51+79,949
phi(4455),2160
(4518+(4697*95))*(4386-1839),1148016951
nth_prime(535),3853
(6979*281)+(8297*890),9345429
"perm(12,2)",132
(857+49)*(7527-4512),2731590
8!*25+5120,1013120
(8144+28)*(9860-7194),21786552
(8341+40)*(5931-5828),863243
(5141+7734)*9618,123831750
((791+5306)*89)-35438,507195
floor(4903499/994)+2,4935
nth_prime(1109)*73+prime_count(2562),651754
10!*4+4222,14519422
"C(26,8)+fib(12)",1562419
9827*3564+29,35023457
"C(13,3)",286
"C(14,4)+fib(11)",1090
(((85*5508)+(9895*23))/193)-1911,1694
((38*60)/4)*66+96,37716
(6288*7290)-(3431*31),45733159
87374/79+39,1145
9!*36+1036,13064716
reverse_digits(9332)+isqrt(87094554),11671
(1448+(45308*8660))*(6288-3614),1049193978672
(194975*58)/11,1028050
"C(19,7)+fib(24)",96756
((8044+36)*7799)-54477,62961443
"lcm(111,291)",10767
(7385*819)+(7579*755),11770460
"C(28,8)+489",3108594
((893*71)/71)*6362+48,5681314
reverse_digits(3272)+isqrt(10708400),5995
isqrt(9737194),3120
(9818*97)/97,9818
sqrt(1229881),1109
"C(16,4)",1820
(1307*69)+(12*83),91179
(4293+(90*774))*(8530-1289)+687,535494360
(((6229*7230)+(33*93))/3)-106,15012807
59*97+93,5816
13!/(4!*9!),715
"C(19,8)+fib(13)",75815
9891+(1063*3878)-(179816/52),4128747
floor(6130678/987)+265,6476
abs(131-7575)*23+floor(131/12),171222
"P(17,4)",57120
(5341*95)/5,101479
2^9+4^5,1536
fib(24)*14,649152
(600+40)*(7877-3029),3102720
(1729+(43*8247))*(3360-2466)+4797,318581697
"P(18,6)",13366080
abs(1536-5317)*29+floor(1536/14),109758
(2689+9)*(5237-4381),2309488
abs(9434-5097)*43+floor(9434/11),187348
digit_sum(957125115)^2+digit_sum(957125115),1332
"max(84828,50955,13387)-min(84828,17094)+33",67767
(((7744*5868)+(6541*7422))/131)-172,717302
(4893+111)*(870-137),3667932
(166655*4815)-(64956*9773),167628837
floor(7526404/577)+176,13220
"C(31,5)-186",169725
8!*44+4618,1778698
(8870*116)/145,7096
5^5+8^5,35893
(20^11)%381,362
((4651+1478)*2647)+(514*7246),19947907
"comb(34,8)",18156204
(3272*248747)+(7*33),813900415
(8887*54)/3,159966
(5635+32)*3783,21438261
((9823+(8770*673))*(8572-8498))-26296,437464146
sigma(4583),4584
((6503+53)*7839)+(12*870139),61834152
"lcm(133,132)",17556
fib(28)+55,317866
(8861*533)+(4198*449),6607815
17*((446+222)*84)-9853,944051
(((14*913)+(3672*8259))/2)-8402,15161513
7!*25+743,126743
11!/(6!*5!),462
"lcm(187,199)",37213
3638*((61+7121)*3538)-58574,92441215834
((257*919)-(853+920))/55,4262
fib(28),317811
(6442+(297185*9389))*(7657-6008)+206,4601165795349
sigma(1397),1536
((3227+884)*805)+(2469*255),3938950
phi(1394)*sigma(1297),830720
((527*121)/121)*4786+67,2522289
(8017+8461)*214916,3541385848
9259+(8*6936)-(8228/44),64560
10!,3628800
(9931+63)*2972,29702168
(6185*5904)+(36*9630),36862920
((6534-6027)*209)/143,741
reverse_digits(210372633617),716336273012
reverse_digits(888008507796),697705800888
(2009*2727)+(87*6900)+(3979*19),6154444
1380+858*828,711804
prime_count(19947),2254
((8062*22)/22)*1579+35,12729933
9172+(94*4419)-(70267/29),422135
isqrt(8233434),2869
(3072+(77*13))*(1776-1536),977520
(8293*900)+(154472*6850),1065596900
(866948*62)/2,26875388
(1746*701)+(8914*596),6536690
sigma(358),540
8931*7592-9867,67794285
97556*6229,607676324
(2106*7418)+(7579*3466)+(3514*4653),58241764
"gcd(25520,27608)",232
8799*(7+99),932694
nth_prime(196)*93+prime_count(4903),111604
((7915+(7327*9985))*(2096-214))-3900,137702190920
(9083*311)+(9664*663),9232045
(5183*3)/73,213
sigma(4996),8750
"gcd(497,800)*lcm(497,800)",397600
fib(17)*26,41522
abs(5446-1069)*33+floor(5446/11),144936
((6269+2755)*35)-97233,218607
"C(26,5)",65780
nth_prime(1333)*46+prime_count(1801),505313
23*(9622+77),223077
sigma(2265),3648
(98*1685)+(31*9690),465520
abs(6130-8641)*2+floor(6130/15),5430
nth_prime(843),6521
floor(2132839/495)+477,4785
nth_prime(1056)*38+prime_count(925),320991
(846+(891*141))*(598-509),11256453
12^4+9^6,552177
"comb(34,7)",5379616
((256973-39057)*71)/284,54479
(2552+(51*826))*(632-180),20194456
2798*((93+91)*57)-90326,29255098
"C(28,6)+fib(12)",376884
(5307+(549*255))*(896-326),82822140
4235*8095,34282325
((4338*83)+72)/9,40014
(4552*871)+(6246*965),9992182
nth_prime(1114),8963
1104*7171+42,7916826
(3984+85)*(8627-7819),3287752
58*(5961+7440),777258
"C(39,7)",15380937
fib(30),832040
((6887*279)/9)*8724+21,1862547849
"C(23,6)-484",100463
4477+(54*9108)-(120615/33),492654
(65*9332)+(4005*463),2460895
(2662+(20*45))*(1268-779),1741818
(645405*2271)+(86*38),1465718023
fib(13)+568,801
2^5+9^5,59081
(8231+(545*334))*(606-266),64688740
fib(38),39088169
sigma(2844),7280
(((24*8369)+(7561*1140))/78)-905,112177
(33^7)%425,152
floor(470085/349)+468,1814
"gcd(560,506)*lcm(560,506)",283360
((4482-1125)*273)/63,14547
(481393*26)-(80*47),12512458
10!*25+9034,90729034
79*7884-8796,614040
nth_prime(587),4273
(2925+97)*2617,7908574
digit_sum(6^7)*phi(133),3888
(5866+881)*(186-37),1005303
sigma(2617)+phi(2617),5234
(5143+2)*7457,38366265
(6739+559)*201641,1471576018
phi(1938),576
2798042/598+65,4744
((8734*1569)+52)/2,6851849
sqrt(120318961),10969
"C(15,4)",1365
641*(8377+151),5466448
prime_count(29424),3197
(6497+(4964*9453))*(4707-4)+9571,220717391438
((2921+45)*5300)+(23*1944),15764512
"C(18,7)+fib(22)",49535
digit_sum(96828068)^2+digit_sum(96828068),2256
((3197*59)/59)*68+11,217407
((6068-702)*54)/2,144882
6852*((253+22)*1184)-64532,2230946668
7^4+7^5,19208
990*108,106920
fib(29)+22,514251
((5277+8909)*464739)-88861,6592698593
nth_prime(302)*39+prime_count(172),77922
5^7+8^8,16855341
15!,1307674368000
digit_sum(622996905)^2+digit_sum(622996905),2352
(5^8)%769,742
"gcd(29172,26312)",572
(8659*844706)+(2830*6657),7333148564
(812*8610)+(64*6086),7380824
phi(1787),1786
"C(27,3)+fib(14)",3302
nth_prime(957)*44+prime_count(2652),332451
8572*((6+81)*9458)-37295,7053398617
((7828-6636)*402)/48,9983
11!*4+2536,159669736
(15^6)%309,267
(8721+4371)*854731,11190138252
((9004-7065)*433)/277,3031
"C(24,6)+458",135054
sigma(3041),3042
((339+(703029*231744))*(9801-7105))-80642,439239741778198
"gcd(796,210)*lcm(796,210)",167160
reverse_digits(7224)+isqrt(52188946),11451
"C(33,5)+143",237479
((1982*93)/6)*5976+30,183588726
9328+(8482*23)-(18676/4),199745
(9298+297)*373,3578935
reverse_digits(987423039387),783930324789
abs(8515-8621)*16+floor(8515/2),5953
floor(2150080/209)+167,10454
((1476+(5321*256913))*(4591-1609))-5156,4076500001962
6015+(301*615)-(45386/22),189067
((8069+(2823*654221))*(6344-3820))-57678,4661509797170
"C(37,7)",10295472
11^8+2^6,214358945
12!/(4!*8!),495
digit_sum(268874608)^2+digit_sum(268874608),2450
(2684*981)-(721*29),2612095
"C(16,5)+fib(29)",518597
9!*4+8550,1460070
((6781+5506)*4273)+(8418*30),52754891
(32^6)%487,328
10^6+7^3,1000343
phi(2219)*sigma(1136),4231872
(8007*15)/45,2669
((5025+405)*993791)+(53*514233),5423539479
nth_prime(720)*69+prime_count(2533),375937
isqrt(6046517),2458
6168*((3300+8850)*4450)-71214,333488268786
"C(24,3)-417",1607
((2130+907)*122)-175,370339
sigma(2743)+phi(2743),5488
"lcm(357,266,164)",1112412
nth_prime(49),227
(9566*6842)-(6398*1470),56045512
"C(33,4)-219",40701
((2331+(8606*685851))*(8987-2272))-81933,39634857906522
"perm(17,2)",272
7913*(41+5556),44289061
(168232*1205)+(68*8929)+(18*8745),203484142
(8206*184)/4,377476
5831*4674-8030,27246064
3^5+8^7,2097395
(761742*87)-(6600*7885),14230554
((381494*61)/118)*8184+89,1613991281
6779+(84*4855)-(55062/14),410666
((3175+2764)*4456)+(648561*6139),4007980163
(3453+38)*(6581-3130),12047441
"gcd(178,509)*lcm(178,509)",90602
((9611+47)*37)-42470,314876
(4529*261)+(32*545),1199509
3599*44,158356
floor(497824/354)+446,1852
9285*(23+2594),24298845
(952+(85*63))*(8659-8025)+92,3998730
((1452+575)*798)+(3421*977),4959863
"max(15813,3941,72938)-min(15813,49712)+36",57161
(563477*91)+(2481*2315),57019922
(13222*83)/11,99766
phi(109)*sigma(440),116640
((1061+(5838*7623))*(9401-7841))-69947,69426380653
8!*19+9609,775689
(9152+677)*478,4698262
"C(18,3)+fib(21)",11762
(4914+64)*(4535-2251),11369752
prime_count(4808),647
(778286*211164)+(8769*5126)+(4679*11),164390986267
"gcd(39,96)*lcm(39,96)",3744
phi(798),216
81*(3031+408),278559
((1322+(5137*23))*(5638-4036))-39072,191356674
"lcm(107,288,107)",30816
(33344*55)/32,57310
sigma(1340),2856
(3334*371270)+(335*69)+(78*24),1237839167
(7918+78)*(9512-5952),28465760
5638+(9602*5297)-(125395/31),50863387
(65*7497)+(671641*6929),4654287794
5681*(78+1487),8890765
8578*751+2158,6444236
(885+4447)*6748,35980336
((6034+2515)*719)-27727,6119004
46*(78+6),3864
(6*6368)+(3169*22)+(658284*5758),3790507198
prime_count(2927),423
(((37*5581)+(57*43))/4)-9274,42963
phi(4671),3096
"C(22,4)",7315
(279974*341433)-(4637*8360),95553597422
isqrt(5133588),2265
"gcd(533,137)*lcm(533,137)",73021
"C(18,6)+156",18720
(7575*5459)-(97*5979),40771962
(20345*9967)-(8442*3970),169263875
((2031-1101)*328)/120,2542
digit_sum(6^10)*phi(55),1440
5^5+3^7,5312
((6676*47)/4)*6391+29,501329242
((6676*47)/4)*67+85,5255766
(7934+(1261*8199))*(815-104),7356626703
(((4*786883)+(61*9301))/13)-8493,277268
((9145+146)*353)-631,3279092
(8960+(76*346169))*(1955-690)+9105,33292031165
(65*942386)+(4663*315547)+(57*54),1532653829
"C(31,4)*2",62930
"C(36,7)%nth_prime(48)",121
isqrt(9569670),3093
(15*8765)+(74*7992),722883
"comb(40,3)",9880
abs(6825-6925)*30+floor(6825/15),3455
nth_prime(945),7459
abs(5810-2208)*50+floor(5810/20),180390
abs(6641-9133)*39+floor(6641/15),97630
(23*3993)+(9348*122651)+(6285*6011),1184412522
8371+(1839*7085)-(375456/96),13033775
"C(33,5)*13",3085368
nth_prime(1101),8837
292186*((79+1273)*86875)-82804,34318706547196
4^9+7^4,264545
11!*32+2335,1277339935
(((93*75)+(657*4566))/9)-3168,330925
((3535*41)/35)*4512+3,18684195
"P(12,4)",11880
(267421*6950)-(9483*28),1858310426
prime_count(9183),1138
"C(20,5)+P(20,3)",22344
((7168+(1334*6734))*(5588-1030))-69144,40977827648
2^5+5^6,15657
digit_product(946837),36288
10!*47+4286,170557886
(14^8)%315,196
((8522+(44*4))*(6878-3854))-34792,26267960
floor(3311429/601)+364,5873
digit_product(5752847),78400
"perm(18,2)",306
digit_product(393247),4536
"gcd(595,638)*lcm(595,638)",379610
(6970*5644)-(1084*2),39336512
fib(18),2584
"C(25,5)+412",53542
digit_product(873864),32256
fib(12),144
26292*2288,60156096
(7638*151537)-(5367*50),1157171256
8^6+7^3,262487
330*(9022+7954),5602080
829+(5186*67)-(88722/62),346860
8!*22+310,887350
floor(3507613/149)+441,23982
phi(2400),640
((7897+(733063*4))*(4177-2402))-43649,5218720826
6983*(6873+5658),87503973
(325*510346)+(3049*756969)+(82*78),2473867327
"C(60,12)%nth_prime(70)",222
62*1253-3650,74036
"C(21,6)-32",54232
(5767+(295*5358))*(885-60),1308761025
((8377+4160)*2027)-39739,25372760
floor(2511126/291)+491,9120
3869*(86+3951),15619153
((4538+58)*6378)+(7187*7671),84444765
((9831-4867)*37)/34,5402
(3025+15)*(7616-3338),13005120
prime_count(13009),1551
"gcd(92447,53654,3088)",193
nth_prime(1567),13171
digit_product(868186621),221184
fib(33)+824,3525402
"C(35,6)+291",1623451
(3108+(71*2449))*(6413-2854)+63,629896796
phi(570),144
"C(24,4)+fib(29)",524855
nth_prime(1395),11593
((7221*24)+10)/2,86657
((321895-177814)*13)/9,208117
phi(458)*sigma(495),213408
272318/94+63,2960
(9609+(749897*9096))*(2254-2129)+907,852634091032
(847172*1130)-(9499*40),956924400
fib(33)-192,3524386
"C(28,7)+fib(21)",1194986
"lcm(338,89,32)",481312
"lcm(266,196)+gcd(266,196)",3738
floor(4298644/604)+146,7262
(((940995*7709)+(349585*2448))/27)-1242,300365963
"lcm(293,344)",100792
"C(34,7)-79",5379537
((5988+98)*398742)-75782,2426668030
((511300*43)/50)*190343+58,83697243332
digit_product(2713754),5880
"gcd(331,509)*lcm(331,509)",168479
84*28-1144,1208
2^5+5^7,78157
757*135,102195
(17^8)%131,105
(351326*9632)+(2229*43)+(4439*99),3384507340
((723851-549016)*50)/50,174835
"C(36,8)",30260340
(7127+(4420*4829))*(5339-4600),15778615873
"C(32,7)",3365856
"gcd(33744,19536)",1776
(6876+764)*720,5500800
(89*8466)+(63*30955)+(2456*71),2878015
(546861*3219)-(198321*53),1749834546
"C(25,5)+fib(30)",885170
reverse_digits(762804817729),927718408267
(7801*5857)+(3375*699),48049582
digit_sum(347738588)^2+digit_sum(347738588),2862
(5667+2303)*7184,57256480
(329001*9)+(38*4155),3118899
((445-32)*336)/236,588
"C(22,5)+fib(15)",26944
(868+(506*358))*(441-124),57699072
"C(23,4)+fib(11)",8944
(((9677*4139)+(9062*45))/43)-7893,933058
nth_prime(689),5171
((1506+16)*2155)+(35*423150),18090160
"lcm(122,29)",3538
abs(6423-1890)*48+floor(6423/4),219189
(6855+638)*732,5484876
"C(27,4)+fib(16)",18537
1480*1550-1224,2292776
29*(3698+84),109678
digit_sum(577330)^2+digit_sum(577330),650
"C(26,4)",14950
"C(34,3)+157",6141
"P(14,3)",2184
digit_product(727257635),617400
7231+(46*302)-(220334/82),18436
((705+37)*2733)+(308*8),2030350
sqrt(3204100),1790
768*(5695+928),5086464
phi(2180)*sigma(1609),1391040
((3434+(992*3085))*(1485-846))-66582,1957672224
(2743*72)/72,2743
7!*44+1403,223163
isqrt(5486224),2342
525795*((1343+5358)*5708)-851,20111294899009
((991+18)*101218)+(72*675253),150747178
5310*((10+6288)*75)-84097,2508094403
nth_prime(1857),15923
fib(19)*44,183964
9143*4315-9839,39442206
"gcd(63240,9145,2325)",155
7530*926+122,6972902
(6439+16)*(2541-733),11670640
"lcm(243,133)",32319
phi(2256),736
sqrt(881721),939
(4843+35)*8503,41477634
digit_sum(806562002)^2+digit_sum(806562002),870
(17*1310)-(68*12),21454
(((4518*387792)+(9476*6337))/22)-6896,82360998
9000*(6423+15),57942000
(522+(771*8160))*(9178-7070)+4453,13263291709
12!*41+4625,19639070225
92*2111-2846,191366
(3854+(24*878915))*(8364-5310)+8042,64432731998
"gcd(107,497)*lcm(107,497)",53179
(4310+65)*(9521-2134),32318125
1111+(30*6)-(22000/44),791
"P(16,3)",3360
61*(53+79),8052
(7055+324)*945,6973155
digit_product(6511218),480
11!*24+2030,958005230
(((31*1892)+(138*576528))/2)-3610,39806148
4132*1974+72,8156640
"gcd(80794,45173)",199
(4668*27)+(963*8385),8200791
"lcm(28,382)",5348
"C(32,5)*4",805504
((5449-3595)*311)/206,2799
fib(18)-300,2284
((3321+(33*3311))*(3765-1146))-62592,294794904
1091502/697+86,1652
((3180+29)*6976)+(643488*64),63569216
phi(241)*sigma(1549),372000
4349*6151-5558,26745141
((1558+7785)*6421)-58077,59933326
(7826*49)/49,7826
"C(19,6)+P(19,4)",120156
((3796+(8885*75))*(9794-1983))-47922,5234657759
sigma(855),1560
"lcm(199,409)+gcd(199,409)",81392
nth_prime(1942),16829
((4102+(13*7832))*(7206-6266))-2484,99560436
(6469*558337)-(2141*693),3610398340
nth_prime(1642),13901
phi(2799),1860
(1537+(7005*2))*(1503-816)+8,10680797
